,id,name,overall_rating,review_count,address,zip
146,zdjoo1GrpBgCNjgBB5h4_Q,Hot Motha Clucker,4.5,148,1708 N Las Palmas,90028
147,llKP5-ZAG8I-RVbKrSatQQ,Chibiscus Asian Cafe,4.5,1156,7361 W Sunset Blvd,90046
148,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,4.5,3684,970 N Western Ave,90029
149,FvG80RRM9jYBK8T-NL_-sg,Papi Tacos & Churros,4.0,97,1320 Vine St,90028
150,3n3D8WCVKDgMLYlL0Tv8Tg,Wood & Vine,3.5,1510,6280 Hollywood Blvd,90028
151,G_V5eJFfYlTEERyIPR-8MQ,Otium,4.0,2231,222 S Hope St,90012
152,DoyIC0ElqglrlHBKDxXOwg,Sugar Taco,4.5,977,7257 Melrose Ave,90046
153,ePBR5sUMgUg9hFW20d5jeA,Manzke,4.5,34,9575 W Pico Blvd,90035
154,jQyPDZRaSWyru3ToNM6VEQ,Pijja Palace,4.0,160,2711 W Sunset Blvd,90026
155,wo3wnj3pMSOPkzqpvbey-g,Bavel,4.5,1924,500 Mateo St,90013
156,I6f8CpgqlaqWL6ThaPTd2A,Mr. Tempo Cantina,4.0,108,6714 Hollywood Blvd,90028
157,ul2dT8QzauKP5Yc-q_DZ_g,HomeState,4.5,1292,4624 Hollywood Blvd,90027
158,5LU6aNLDG10imXu3btmlcw,Annie's Soul Delicious,4.5,575,1066 S Fairfax Ave,90019
159,AyZUXwC5E-U6WInXGqcmcA,Sanamluang Cafe Hollywood,4.0,1790,5176 Hollywood Blvd,90027
160,M8OXVXxgWqsg4VUhMnRh8Q,Sisters Dumpling,4.5,95,1032 Crenshaw Blvd,90019
161,h_VkRMpSrtjdKDxUJ7sDOQ,Lala's Argentine Grill,4.0,2230,7229 Melrose Ave,90046
162,V4QgFXbLMmW_ycXg1YhXhQ,Sinjeon,4.0,65,450 S Western Ave,90020
163,7ykDFudSSYFq3RPuSxO77A,Tensho,4.5,48,418 E 2nd St,90012
164,uMY7uC9m7HxRNAZGkjtdbA,Bossa Nova on Sunset,3.5,3552,7181 W Sunset Blvd,90046
165,eoOJbi94rj9277dG7WIv0A,Home Restaurant - Los Feliz,4.0,3509,1760 Hillhurst Ave,90027
166,YpM5qRwt8uwC77WNZtGIfA,Muraya,4.0,149,125 N Larchmont Blvd,90004
167,2EnYyy0Vh8Ump4CRfdRx3g,Nics on Beverly,4.5,613,8265 Beverly Blvd,90048
168,v93hPyb_VYFHYz7t_jAlhw,HanShik Express,4.5,109,3959 Wilshire Blvd,90010
169,CBnXC267v0gjZVKWVWaNOA,Gamsung Pocha,5.0,10,3074 W 8th St,90005
170,labimxMfErB-poVmmw9n4g,Saffys,4.5,110,4845 Fountain Ave,90029
171,eUkd8atkJe4fkKGcD5QZ1A,HATCH,4.0,730,700 W 7th St,90017
172,ktn9AX_cmEqeEDjqdLynzg,Seoulmates,4.5,75,8320 W 3rd St,90048
173,zjY4EkcLa4rwMLcDtLkmsw,Next Door,4.5,45,7475 Beverly Blvd,90036
174,ztNZZHKmJOyVXM32WiyXcQ,Zinqué,4.0,943,8684 Melrose,90069
175,sYXSgqcBUHtcACUkh3JuQA,Ceviche Project,4.5,109,2524 Hyperion Ave,90027
176,4LFbJ8P4jCh70ZNKRig0qw,EMC Seafood & Raw Bar,4.0,3382,3500 W 6th St,90020
177,gCFw0Tx6h4E8oNwDYkIRTg,Bicyclette,4.0,185,9575 West Pico Blvd,90035
178,puo151bPwqvTl46LYZyOsA,Larchmont Bungalow Cafe,4.5,548,2110 Sunset Blvd,90026
179,P7S8klSRcucx_6xoLC7Eqw,BBQ + RICE,5.0,208,5706 Santa Monica Blvd,90038
180,sgqhqcRGuioPSNCVKA-PZg,Woon,4.5,286,2920 W Temple St,90026
181,Gm0rzA9EQD4GgSP9TimLPQ,Il Cielo,4.0,1563,9018 Burton Way,90211
182,JUOtI0Z9aHSE6JDR2542ig,Sōgo Roll Bar,4.5,119,4634 Hollywood Blvd,90027
183,U0-5DL9r3JJk6Vn7E2XK8A,Found Oyster,4.5,211,4880 Fountain Ave,90029
184,Nb6Qle4iE3eQsUe_rAR6EQ,Assa Dakbal,5.0,11,3950 Wilshire Blvd,90010
185,bEEgYy1GxSaQ8_M6a0fc4w,Wow Choripan,5.0,55,375 N Western Ave,90004
186,y148iaa36UlRwyOc1-ZasA,Per L'Ora,5.0,4,649 S Olive St,90017
187,JD6tyqraOsi5xF10J0KEwQ,Formosa Cafe,4.0,513,7156 Santa Monica Blvd,90046
188,JZ7Co0icWfR_g6wZ454j8w,Seabirds Kitchen - Los Feliz,4.5,40,2138 Hillhurst Ave,90027
189,BEItepse0gBSfkJ4sb_k-g,Hae Ha Heng Thai Bistro,4.5,1445,301 S Western Ave,90020
190,30p6BV9aLHDynFoYcA7Mag,Hanshin Pocha LA,4.0,93,3500 W 6th St,90020
191,bXfIgNNhPrfuvtQhCy7KMQ,Jones,4.0,1176,7205 Santa Monica Blvd,90046
192,IO94U9tWIVuw93g2ahEyEQ,Loupiotte Kitchen,4.5,285,1726 N Vermont Ave,90027
